Iteration,Number of data points,Number of pareto points queries,GD,IGD,MPFE,Point chosen
81,86,8,0.05295334395240058,0.09365426358615812,0.23915259336675757,716
82,87,8,0.05295334395240058,0.09365426358615812,0.23915259336675757,177
83,88,8,0.05295334395240058,0.09365426358615812,0.23915259336675757,100
84,89,8,0.05295334395240058,0.09365426358615812,0.23915259336675757,63
85,90,8,0.05295334395240058,0.09365426358615812,0.23915259336675757,82
86,91,8,0.05295334395240058,0.09365426358615812,0.23915259336675757,277
87,92,8,0.05295334395240058,0.09365426358615812,0.23915259336675757,392
88,93,8,0.05295334395240058,0.09365426358615812,0.23915259336675757,715
89,94,8,0.05295334395240058,0.09365426358615812,0.23915259336675757,740
90,95,8,0.05295334395240058,0.09365426358615812,0.23915259336675757,477
91,96,8,0.04762813028397292,0.09322938666842467,0.23915259336675757,533
92,97,9,0.0455573420107567,0.08763124331610436,0.23915259336675757,691
93,98,9,0.04241138369921383,0.08471113439205677,0.23915259336675757,119
94,99,9,0.04241138369921383,0.08471113439205677,0.23915259336675757,24
95,100,9,0.04241138369921383,0.08471113439205677,0.23915259336675757,395
96,101,9,0.04241138369921383,0.08471113439205677,0.23915259336675757,516
97,102,9,0.043616162353247286,0.08457344084796503,0.23915259336675757,799
98,103,9,0.043616162353247286,0.08457344084796503,0.23915259336675757,40
99,104,9,0.043616162353247286,0.08457344084796503,0.23915259336675757,295
