Iteration,Number of data points,Number of pareto points queries,GD,IGD,MPFE,Point chosen
69,74,18,0.01357567009996624,0.07163862947731536,0.21820932945999247,499
70,75,18,0.01357567009996624,0.07163862947731536,0.21820932945999247,697
71,76,19,0.013386394386584179,0.07153610217029083,0.21820932945999247,780
72,77,20,0.012828627953809839,0.07039510496333475,0.21820932945999247,686
73,78,20,0.012828627953809839,0.07039510496333475,0.21820932945999247,355
74,79,20,0.012828627953809839,0.07039510496333475,0.21820932945999247,770
75,80,20,0.012828627953809839,0.07039510496333475,0.21820932945999247,141
76,81,20,0.012828627953809839,0.07039510496333475,0.21820932945999247,731
77,82,20,0.012828627953809839,0.07039510496333475,0.21820932945999247,199
78,83,20,0.012828627953809839,0.07039510496333475,0.21820932945999247,79
79,84,20,0.012828627953809839,0.07039510496333475,0.21820932945999247,687
80,85,20,0.012828627953809839,0.07039510496333475,0.21820932945999247,55
81,86,20,0.012441429606517647,0.07022193324806908,0.21820932945999247,131
82,87,21,0.012315482835657445,0.070175629288194,0.21820932945999247,520
83,88,22,0.01184181041890139,0.06821307653851484,0.21820932945999247,790
84,89,22,0.01184181041890139,0.06821307653851484,0.21820932945999247,725
85,90,23,0.011407204565617503,0.06786770536892588,0.21820932945999247,90
86,91,23,0.011407204565617503,0.06786770536892588,0.21820932945999247,726
87,92,24,0.01098471550763167,0.06703871475132661,0.21820932945999247,769
88,93,24,0.01098471550763167,0.06703871475132661,0.21820932945999247,723
89,94,25,0.010592404239501968,0.06600632438356659,0.21820932945999247,147
90,95,25,0.010592404239501968,0.06600632438356659,0.21820932945999247,158
91,96,25,0.010592404239501968,0.06600632438356659,0.21820932945999247,38
92,97,25,0.010592404239501968,0.06600632438356659,0.21820932945999247,100
93,98,26,0.010227148920898451,0.0657672197656104,0.21820932945999247,511
94,99,26,0.010227148920898451,0.0657672197656104,0.21820932945999247,539
95,100,26,0.010227148920898451,0.0657672197656104,0.21820932945999247,768
96,101,26,0.010227148920898451,0.0657672197656104,0.21820932945999247,527
97,102,26,0.010227148920898451,0.0657672197656104,0.21820932945999247,74
98,103,26,0.010227148920898451,0.0657672197656104,0.21820932945999247,685
99,104,26,0.012306008070118312,0.06545284807660391,0.21820932945999247,530
